Striped coloring (pre-computing COR Format),GH200,3d_27pt,32,32,32,830584,CG,vanilla_version_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24
403.237
401.605
403.737
401.144
400.908
401.021
408.773
405.321
400.577
400.724
