Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,32,32,32,830584,CG,vanilla_version_CG iterations: 26
35.2347
35.1199
35.2088
35.0622
35.0994
35.089
35.0903
35.0796
35.0312
35.1219
