Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_CG iterations: 332
13867.1
13878
13875.2
13868.6
13871.6
13870.6
13872.3
13873.1
13880.2
13881.1
