Striped coloring (pre-computing COR Format),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24_normi/norm0: 0.107826_CG iterations: 24
16.2863
16.2862
16.3207
16.3309
16.3514
16.3414
16.3429
16.3387
16.3141
16.3347
