Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version_CG iterations: 332
151.533
151.416
151.452
151.462
151.695
151.826
151.577
151.425
151.519
151.692
