Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 44
195.008
194.832
194.833
194.761
194.788
194.736
194.722
194.691
194.761
194.693
