Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,CG,vanilla_version_CG iterations: 24
94.2328
94.2726
94.1373
94.0357
94.1167
94.1222
94.1607
94.2044
94.1935
94.0027
