Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version_CG iterations: 48
1.55878
1.57149
1.56685
1.55587
1.54624
1.55507
1.5567
1.55619
1.53821
1.53066
