Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,256,256,256,449455096,MG,vanilla_version_CG iterations: 177
26.6134
26.3523
26.1727
26.1691
26.1354
26.0941
26.1741
26.1923
26.1446
26.127
