Striped coloring (pre-computing COR Format),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41
17.8552
17.8408
17.8731
17.8747
17.926
17.8884
17.886
17.8636
17.8862
17.8484
