Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version_CG iterations: 24
3.85005
3.81974
3.80003
3.7897
3.77194
3.78333
3.76752
3.77866
3.78141
3.79482
