Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_CG iterations: 83
80.9365
80.9316
80.8911
80.924
80.9678
80.8835
80.8959
80.8938
80.9191
80.8504
