Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version_CG iterations: 332
187.79
187.5
187.603
187.551
188.101
188.225
187.683
187.565
187.553
187.496
