Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,128,128,128,55742968,CG,vanilla_version_CG iterations: 91
429.411
429.776
431.996
431.945
431.834
431.839
431.917
431.781
431.926
431.209
