Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,64,64,64,6859000,CG,vanilla_version_CG iterations: 48
83.2442
82.855
82.7871
82.8424
82.7328
82.8908
82.8601
82.7828
83.1986
82.8595
