Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,128,128,128,55742968,MG,vanilla_version_CG iterations: 91
4.36288
4.32176
4.34726
4.33011
4.33632
4.35539
4.34326
4.32858
4.32314
4.31878
