Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,MG,vanilla_version_CG iterations: 83
7.21251
7.16416
7.1823
7.14198
7.07709
7.05901
7.05533
7.06291
7.07965
7.10787
