Striped coloring (storing nothing),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_CG iterations: 295
13802.7
13835.5
13849.5
13845.9
13859.2
13858.9
13868
13870
13879.7
13878.2
