Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,SymGS,vanilla_version_normi/norm0: 0.131496
6.1816
6.1665
6.14013
6.14189
6.14806
6.13245
6.15706
6.13107
6.1465
6.1304
