Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version_CG iterations: 177
930.161
930.675
930.325
930.714
930.29
928.868
930.718
931.546
930.906
930.576
