Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,SymGS,vanilla_version_normi/norm0: 0.647401
138.504
138.529
140.406
138.365
138.523
138.428
138.186
138.369
138.358
138.266
