Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_CG iterations: 24
7.54483
7.56746
7.53843
7.53107
7.53302
7.53824
7.52678
7.53891
7.53741
7.51232
