Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_normi/norm0: 0.320812
5.52525
5.53034
5.44618
5.4864
5.46278
5.42947
5.48166
5.45312
5.42867
5.39862
