Striped coloring (pre-computing COR Format),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295
13798.9
13787.2
13803.5
13792.9
13806.1
13785.1
13790.1
13780.8
13801.3
13799.2
