Striped coloring (storing nothing),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version_CG iterations: 295
1247.16
1246.88
1247
1247.41
1247.22
1243.19
1239.52
1239.25
1239.76
1239.36
