Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version_CG iterations: 315
177.223
176.906
176.967
176.551
176.651
176.745
177.227
177.313
176.943
176.999
