Striped coloring (pre-computing COR Format),GH200,3d_27pt,512,512,512,3609741304,SymGS,vanilla_version_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295
2197.58
2202.19
2192.32
2200.22
2206.85
2200.05
2206.32
2203.14
2200.02
2202.38
