Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_normi/norm0: 0.51174
19.6644
19.6096
19.5732
19.6366
19.641
19.6369
19.5523
19.6152
19.561
19.6444
