Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,512,512,512,3609741304,CG,vanilla_version_CG iterations: 315
70296.9
70320.4
70304.5
70319.4
70307.5
70334.3
70321
70343.9
70315.1
70336.3
