Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_normi/norm0: 0.292314
9.54429
9.55494
9.55757
9.54794
9.58141
9.58698
9.56464
9.60208
9.47754
9.60618
