Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_normi/norm0: 0.469112
24.0363
24.0747
24.0394
24.0692
24.0395
24.0454
24.0655
23.9791
24.1009
24.0611
