Striped Box coloring (COR stored on GPU) (coloringBox 2x2x2),GH200,3d_27pt,256,256,256,449455096,SymGS,vanilla_version_normi/norm0: 0.70437
127.371
127.542
135.879
127.743
127.589
127.682
127.678
127.757
127.703
127.623
