Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_CG iterations: 295
13809.4
13843.9
13857
13861.5
13861.1
13870.3
13859.5
13873.4
13869.8
13875.8
