Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version_CG iterations: 315
205.242
205.054
205.241
205.914
205.408
204.793
205.496
205.617
205.439
205.019
