Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,512,512,512,3609741304,CG,vanilla_version_CG iterations: 315
61245.9
61261.3
61268.4
61257.9
61256.6
61251.5
61258
61254.9
61261.7
61255.6
