Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_CG iterations: 315
13893
13888.8
13894.4
13896.2
13898.5
13894.1
13896.9
13892.3
13897.5
13893.2
