Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version_CG iterations: 44
17.9305
17.8811
17.9393
17.9146
17.9068
17.9371
17.9497
17.7841
17.9059
17.9163
