Striped coloring (pre-computing COR Format),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78
76.675
76.5453
76.7296
76.4345
76.6053
76.4437
76.6494
76.4561
76.6456
76.5588
