Banded Preprocessed (2 rows while preprocessing),41-44,3d_27pt,64,64,64,6859000,SymGS,SymGS cooperation number = 16
680.416
680.391
680.429
680.418
680.339
680.35
680.359
680.293
680.317
680.345
