Banded Preprocessed (2 rows while preprocessing),41-44,3d_27pt,8,8,8,10648,SymGS,SymGS cooperation number = 16
1.36499
1.33939
1.33939
1.33824
1.33734
1.33837
1.33837
1.33734
1.33734
1.33837
