Banded Preprocessed (2 rows while preprocessing),41-44,3d_27pt,128,64,64,13790200,SymGS,SymGS cooperation number = 16
1375.56
1362.13
1362.09
1362.31
1362.18
1362.19
1362.14
1362.19
1362.21
1362.26
