Banded Preprocessed (2 rows while preprocessing),41-44,3d_27pt,128,128,64,27725560,SymGS,SymGS cooperation number = 16
2742.71
2725.3
2725.25
2725.16
2725.26
2725.32
2725.21
2725.25
2725.56
2725.58
