Banded Preprocessed (2 rows while preprocessing),41-44,3d_27pt,32,32,32,830584,SymGS,SymGS cooperation number = 16
82.1733
82.1137
82.0923
82.1548
82.1644
82.1663
82.0944
82.0692
82.1698
82.1263
