Banded Preprocessed (2 rows while preprocessing),41-44,3d_27pt,16,16,16,97336,SymGS,SymGS cooperation number = 16
10.4899
10.4837
10.4858
10.4847
10.4827
10.4817
10.4828
10.4827
10.4847
10.4837
