Banded Preprocessed (2 rows while preprocessing),41-44,3d_27pt,128,128,128,55742968,SymGS,SymGS cooperation number = 16
5478.65
5450.79
5451.3
5451.18
5450.71
5450.78
5450.52
5450.4
5450.47
5478.15
