Striped coloring (pre-computing COR Format),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version
18.5461
18.5248
18.5316
18.4479
18.4873
18.5463
18.4767
18.4525
18.4894
18.468
