Striped coloring (pre-computing COR Format),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version
1090.45
1091.15
1091.66
1090.9
1091.68
1092.15
1092.38
1092.6
1091.58
1092.37
