Striped coloring (pre-computing COR Format),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version
7.57094
7.55987
7.55011
7.49837
7.51952
7.51021
7.5256
7.54547
7.56131
7.50717
