Striped coloring (pre-computing COR Format),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version
14735.7
14759.5
14745.6
14758.2
14755.7
14761.2
14758
14760.3
14754.8
14760
