Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,SymGS,vanilla_version_normi/norm0: 0.647401
142.349
142.311
142.18
142.211
142.242
142.217
142.061
142.254
142.021
142.375
