Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version
8.76442
8.7343
8.72067
8.77846
8.74947
8.75085
8.78269
8.75747
8.74566
8.72205
