Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version
95.6828
95.6417
95.6313
95.5801
95.659
95.6815
95.6613
95.6966
95.6436
95.5951
