Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version
20.8411
25.2747
29.1421
20.8772
20.7609
20.8656
20.8137
20.6851
20.7795
20.7962
