Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_normi/norm0: 0.469112
24.1935
24.1236
24.0961
24.1206
24.0983
24.0133
24.0673
24.0142
24.0229
24.0413
