Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version
95.8178
95.8454
95.8581
95.6857
95.6711
95.6106
95.6239
95.5967
95.5922
95.5686
