Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,CG,vanilla_version
819.927
825.985
826.331
825.729
826.375
826.089
826.556
823.691
826.013
826.405
