Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version
1.71872
1.70064
1.69776
1.69821
1.70509
1.70102
1.6993
1.70086
1.69715
1.68493
