Striped Box coloring (coloringBox 2x2x2),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version
1.54579
1.51395
1.51619
1.52253
1.52182
1.51299
1.53469
1.54192
1.51219
1.50915
