Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version
1098.79
1098.43
1098.13
1098.73
1099.82
1098.5
1099.8
1098.82
1098.59
1099.2
