Striped coloring (COR Format already stored on the GPU),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version
0.201728
0.191488
0.190464
0.191488
0.190464
0.202752
0.192512
0.192512
0.190496
0.191488
