Striped coloring (pre-computing COR Format),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version
8.9999
9.14435
9.00925
9.13786
9.04954
9.08099
9.00643
9.12598
9.02714
9.10019
