Striped coloring (pre-computing COR Format),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version
10.9295
10.6686
10.6554
10.6924
10.6138
10.7707
10.6543
10.6851
10.6173
10.6487
