Banded Warp Reduction (8 cooperating threads),41-44,3d_27pt,256,256,128,224140792,SPMV,vanilla_version
4.99347
2.67578
2.67059
2.67264
2.67162
2.67059
2.67062
2.66957
2.66957
2.67059
