Striped Warp Reduction (thrust reduction),41-44,3d_27pt,128,128,64,1048576,Dot,vanilla_version
0.29504
0.289792
0.292768
0.290016
0.288768
0.288768
0.289792
0.288768
0.288768
0.289984
